epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
1,0.5495320948600769,3.425,0.4056166674301123,6.09,0.001
2,0.36318776893615723,9.56,0.30869014380843773,15.3,0.001
3,0.2909892735004425,17.39,0.26686254191170833,19.15,0.001
4,0.26009806122779844,22.4675,0.24765568905195612,22.13,0.001
5,0.23955216200351714,26.6625,0.23399790561502906,28.64,0.001
6,0.22724754402637481,30.0225,0.22443144488486516,31.55,0.001
7,0.21836140325069428,31.85,0.21344807269466912,32.84,0.001
8,0.21086623771190643,33.6025,0.20832547403065263,36.29,0.001
9,0.2068157853603363,34.86,0.2040041618666072,33.33,0.001
10,0.2026183485031128,35.6875,0.19970644374561916,38.92,0.001
11,0.19954194440841674,36.5775,0.19870495454520937,36.46,0.001
12,0.19638604136705398,37.585,0.19483593248637618,37.97,0.001
13,0.1925733598589897,38.4625,0.1971776448427492,37.62,0.001
14,0.19171157877445222,38.6425,0.18977751862850917,38.31,0.001
15,0.18868988229036332,39.6075,0.19291260278528663,37.45,0.001
16,0.18644072515964508,39.7925,0.18677581096910367,40.17,0.001
17,0.18452740545272828,40.64,0.18653636577592533,40.86,0.001
18,0.18250047929286956,41.345,0.18141303918543894,41.49,0.001
19,0.18090741794109344,41.765,0.18266132834610666,41.96,0.001
20,0.17964549914598466,42.0125,0.1824171752876537,43.72,0.001
21,0.17793427333831788,42.49,0.18754371587827706,44.37,0.001
22,0.17698588535785675,42.89,0.18331198963769682,42.51,0.001
23,0.17647848455905915,42.8,0.18344786336087876,42.24,0.001
24,0.1750009373664856,43.385,0.17802682452520746,40.76,0.001
25,0.1741406287908554,43.64,0.17763813902997666,43.67,0.001
26,0.1726756572008133,44.1175,0.17667419283063548,45.52,0.001
27,0.17122182075977324,44.64,0.18112147343196686,43.32,0.001
28,0.17080809658765791,44.8975,0.1719765990118312,46.5,0.001
29,0.169106955242157,44.965,0.17690477781235034,42.46,0.001
30,0.16867401605844498,45.2525,0.17827716493492674,46.35,0.001
31,0.16838486218452453,45.1025,0.17299184037052143,44.06,0.001
32,0.16759486440420152,45.23,0.1740102187083785,43.63,0.001
33,0.16669535578489303,45.56,0.17254175321691356,43.65,0.001
34,0.16588294937610626,46.11,0.171694470818635,44.22,0.001
35,0.16529787504673005,46.04,0.16669669742607007,46.76,0.001
36,0.1653306029200554,45.95,0.17115444319832857,45.46,0.001
37,0.163912572824955,46.63,0.17340065932767407,45.1,0.001
38,0.16292447205781938,47.0025,0.1690445748294235,44.72,0.001
39,0.1618258484840393,46.8575,0.1686685557008549,47.44,0.001
40,0.16064001274108886,47.32,0.17170158436723576,45.4,0.001
41,0.1616631079673767,47.0925,0.17596299367345822,44.01,0.001
42,0.16221842539310455,47.0625,0.16818049929703877,46.02,0.001
43,0.16145603994131089,47.375,0.17054343897445945,45.98,0.001
44,0.16088846246004104,47.71,0.17034814217288025,47.82,0.001
45,0.16071724001169205,47.53,0.1683831778206643,46.71,0.001
46,0.159173303771019,47.855,0.1675304849246505,46.91,0.001
47,0.15890637797117232,47.97,0.16787476030884274,46.59,0.001
48,0.15806579525470735,48.0375,0.1659739174565692,46.97,0.001
49,0.15836675933599473,48.4575,0.16334803383441487,48.52,0.001
50,0.15805934336185457,48.1025,0.16425143784967958,46.54,0.001
51,0.15751981242895127,48.4675,0.16562131578755226,49.07,0.001
52,0.15714057641029358,48.49,0.162621426354548,47.88,0.001
53,0.15753558458089828,48.1475,0.16474588011290617,46.4,0.001
54,0.15609957082271575,48.7925,0.16574435443825022,49.22,0.001
55,0.15610299347639084,48.9025,0.1716154705092406,44.75,0.001
