epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
1,0.24825787739157676,69.28,0.07107942876447539,88.38,0.001
2,0.06546178192496299,88.0575,0.040298225714048,93.35,0.001
3,0.04589855395555496,92.7775,0.03662256130675791,93.98,0.001
4,0.03715037492215634,94.6325,0.02891663312437428,96.14,0.001
5,0.02897005144059658,96.5025,0.026835520817026212,97.14,0.001
6,0.023910692669451238,97.665,0.023485435303419257,97.64,0.001
7,0.01994486937224865,98.0825,0.01980560657325064,98.21,0.001
8,0.016837005477398633,98.465,0.018494052281543896,98.28,0.001
9,0.015781654268503188,98.5375,0.018166231133850515,98.74,0.001
10,0.013680459217727184,98.8325,0.014170865451169622,98.55,0.001
11,0.01305808946080506,98.815,0.013237067821560202,98.62,0.001
12,0.011788549689948559,98.885,0.010375875356802894,98.86,0.001
13,0.01050683572255075,99.0325,0.013040744939783386,98.83,0.001
14,0.010353558476641773,99.0725,0.011922511215778482,98.93,0.001
15,0.009938300759345294,99.06,0.007699618962071361,99.04,0.001
16,0.009417353083379567,99.1,0.015779472691760322,98.7,0.001
17,0.008009110908396542,99.2375,0.008207790544671807,99.09,0.001
18,0.008233221560157836,99.22,0.010985625841043843,98.98,0.001
19,0.00781816298700869,99.2425,0.00767552239262754,99.3,0.001
20,0.008387872507609428,99.2675,0.00800975571404312,99.21,0.001
21,0.007399787334166468,99.3125,0.007829021313969212,99.21,0.001
22,0.007573526642099023,99.2925,0.007125576349289696,99.14,0.001
23,0.006877376482076943,99.3525,0.007764205983899249,99.09,0.001
24,0.0067819516545161605,99.355,0.008820402098576402,99.13,0.001
25,0.006313617151882499,99.38,0.0073794464233693235,99.39,0.001
26,0.006220451527647674,99.4225,0.00692177294000129,99.31,0.001
27,0.0064112559154629704,99.3975,0.006648785987079951,99.17,0.001
28,0.006582071058824659,99.4275,0.007904643989998586,99.28,0.001
29,0.006044665395282209,99.435,0.007203249052422015,99.26,0.001
30,0.006201451129373163,99.4075,0.00632898716528894,99.34,0.001
31,0.005474615252763033,99.5075,0.006788181618544137,99.2,0.001
32,0.0054663933383300905,99.505,0.006378328735023666,99.35,0.001
33,0.005291314887907356,99.4875,0.0055089251073018,99.42,0.001
34,0.005459569719992578,99.49,0.005270621504272767,99.5,0.001
35,0.0055200626393780115,99.485,0.005075133945436994,99.39,0.001
36,0.005383077099360526,99.4925,0.006329091873085186,99.33,0.001
37,0.0056366535256616775,99.505,0.004728097665111778,99.55,0.001
38,0.00489668688531965,99.5675,0.008083998216731343,99.31,0.001
39,0.004739018618129194,99.5725,0.004961453735602984,99.53,0.001
40,0.004806762443296611,99.55,0.003905531987369915,99.55,0.001
41,0.004603398150298745,99.615,0.006922883112102178,99.35,0.001
42,0.004461277533788234,99.6,0.004510454947698363,99.58,0.001
43,0.0047485628257505595,99.645,0.0046156899155277735,99.57,0.001
44,0.004419035841431469,99.6275,0.0067132824081275015,99.34,0.001
45,0.004430464068520814,99.64,0.007131946771435297,99.22,0.001
46,0.00440016471054405,99.585,0.004740943652088309,99.52,0.001
47,0.003957651187386364,99.615,0.003264038159161996,99.65,0.001
48,0.003923025638330728,99.635,0.005519567608424006,99.52,0.001
49,0.004963833536207676,99.5975,0.007587019601765617,99.38,0.001
50,0.004586225805617869,99.6475,0.005616340137407136,99.49,0.001
51,0.00429546814179048,99.6275,0.004686201116215485,99.57,0.001
52,0.004050689586251974,99.63,0.00537491147591774,99.5,0.001
53,0.0039193197416141625,99.6375,0.005137225223711105,99.58,0.001
54,0.0041632348687388005,99.6325,0.0036720709910817964,99.72,0.001
55,0.0037763256072998047,99.635,0.004620659979991615,99.52,0.001
