epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
1,3.308498386001587,0.195,3.180643292749004,0.15,0.001
2,3.1388509101867674,0.21,3.11703765316374,0.14,0.001
3,3.099713827133179,0.1425,3.0737434056154482,0.13,0.001
4,3.0804291244506836,0.1,3.0647084561123212,0.11,0.001
5,3.0685698333740232,0.1,3.0567016130799702,0.08,0.001
6,3.061803237915039,0.0825,3.057204200963306,0.06,0.001
7,3.049824359512329,0.0825,3.0422332150161644,0.02,0.001
8,3.041483378982544,0.0575,3.034240250374861,0.07,0.001
9,3.027785064315796,0.055,3.0186318485600174,0.05,0.001
10,2.993657444381714,0.05,2.9714981689574613,0.05,0.001
11,2.953884669113159,0.04,2.9167832599324024,0.03,0.001
12,2.915080392074585,0.0425,2.897169552031596,0.04,0.001
13,2.8957157676696776,0.035,2.8959915000162306,0.03,0.001
14,2.890036545562744,0.04,2.86230538908843,0.05,0.001
15,2.8813360656738283,0.035,2.8742342845649476,0.07,0.001
16,2.875921194076538,0.0475,2.8848323381630476,0.05,0.001
17,2.8701748962402345,0.0425,2.8627150696554002,0.02,0.001
18,2.8640634899139403,0.045,2.8652135141336235,0.05,0.001
19,2.862225856399536,0.05,2.869488591601135,0.05,0.001
20,2.8559716339111327,0.0425,2.8531411073769735,0.06,0.001
21,2.858181383895874,0.0375,2.8635821767673373,0.04,0.001
22,2.851503148651123,0.03,2.8415208986610363,0.02,0.001
23,2.8494526016235353,0.0475,2.8418072940437655,0.04,0.001
24,2.8472311416625975,0.025,2.8828819086597224,0.02,0.001
25,2.8435328338623047,0.035,2.8534390075950866,0.04,0.001
26,2.841970444869995,0.0225,2.836573983453641,0.06,0.001
27,2.842756209564209,0.0425,2.8422341802317623,0.05,0.001
28,2.8413367515563963,0.0275,2.8352220134370647,0.04,0.001
29,2.839881388473511,0.0275,2.838980901013514,0.01,0.001
30,2.838485097885132,0.0375,2.829959318136713,0.04,0.001
31,2.8360073566436768,0.0375,2.833923951835389,0.02,0.001
32,2.834394591140747,0.025,2.852432594177829,0.06,0.001
33,2.8358516887664793,0.025,2.8324395744663895,0.04,0.001
34,2.8304586696624754,0.015,2.8384068741160595,0.03,0.001
35,2.8282133865356447,0.025,2.8533700939955984,0.01,0.001
36,2.8298979648590086,0.0225,2.838618105384195,0.01,0.001
37,2.8269110507965087,0.04,2.8293643468504497,0.02,0.001
38,2.8274203552246093,0.0175,2.8624918567147226,0.04,0.001
39,2.8242270473480224,0.025,2.8191047170359615,0.05,0.001
40,2.826993236923218,0.02,2.8367303754114044,0.04,0.001
41,2.821256671524048,0.025,2.8324538325048554,0.02,0.001
42,2.821335837173462,0.0175,2.8236887500544263,0.05,0.001
43,2.8203451000213624,0.0475,2.815666759090059,0.04,0.001
44,2.8182046489715575,0.025,2.828388242964532,0.03,0.001
45,2.8181055923461913,0.02,2.8274196743205855,0.05,0.001
46,2.8195507709503174,0.0175,2.8241862248463234,0.04,0.001
47,2.817354592514038,0.0225,2.8176593750145784,0.02,0.001
48,2.814512297821045,0.025,2.824721799534597,0.06,0.001
49,2.81180136756897,0.0125,2.8143466247874462,0.02,0.001
50,2.811379933929443,0.02,2.8229664495796154,0.04,0.001
51,2.8112405975341797,0.0125,2.820928186368031,0.04,0.001
52,2.811519411468506,0.0175,2.814421511000129,0.01,0.001
53,2.8107630138397215,0.0275,2.824587430164313,0.02,0.001
54,2.808501382827759,0.015,2.8181283048763395,0.04,0.001
55,2.8053447734832764,0.02,2.8116211283738446,0.01,0.001
56,2.8079951988220215,0.0175,2.8188148015623637,0.03,0.001
57,2.8067835124969482,0.015,2.826945017857157,0.04,0.001
58,2.8034161540985107,0.025,2.81063095627317,0.02,0.001
59,2.8059498344421385,0.0175,2.8089120828422014,0.04,0.001
60,2.8063452674865723,0.015,2.8115176866008977,0.02,0.001
61,2.8023222496032716,0.0175,2.8134164309046072,0.04,0.001
62,2.803883405303955,0.0075,2.807345751744167,0.02,0.001
63,2.8007345222473146,0.0225,2.8075432261084297,0.03,0.001
64,2.803524437713623,0.0275,2.809495014749515,0.04,0.001
65,2.8034097618103027,0.0125,2.8020069644709302,0.02,0.001
66,2.7992183563232422,0.0225,2.8117159992266614,0.01,0.001
67,2.7985664054870605,0.0175,2.8172030950048166,0.04,0.001
68,2.8016057247161865,0.0275,2.8237442757673326,0.03,0.001
69,2.8017827224731446,0.0175,2.805605496570563,0.03,0.001
70,2.8011108234405517,0.015,2.8134362803902597,0.02,0.001
71,2.8001078594207764,0.0075,2.80497623401083,0.05,0.001
72,2.7986785781860353,0.0275,2.814604794143871,0.02,0.001
73,2.7966325424194336,0.0325,2.8250045700437703,0.01,0.001
74,2.796133632659912,0.0225,2.8153831320963087,0.02,0.001
75,2.7982879482269287,0.0175,2.813922025595501,0.01,0.001
76,2.7985189643859862,0.0225,2.795583419739061,0.01,0.001
77,2.7996941417694092,0.02,2.8054917693897417,0.01,0.001
78,2.798095777130127,0.0175,2.8021375312926664,0.01,0.001
79,2.7947771026611328,0.0125,2.804650883765737,0.03,0.001
80,2.7986444705963134,0.0175,2.831562759010655,0.04,0.001
81,2.795355555343628,0.0225,2.816257874677136,0.01,0.001
82,2.7914830291748047,0.025,2.813134040042853,0.01,0.001
83,2.795581507873535,0.0175,2.816489329003984,0.04,0.001
84,2.7952373161315918,0.0175,2.8374985798149353,0.01,0.001
85,2.7931807327270506,0.015,2.8166370209614944,0.02,0.001
86,2.796271686553955,0.0175,2.820971997680178,0.05,0.001
87,2.7926928798675537,0.0225,2.8026995582945027,0.01,0.001
88,2.7913893604278566,0.0175,2.7998902782513078,0.02,0.001
89,2.7949206512451172,0.0225,2.8067625054887904,0.02,0.001
90,2.7932238662719726,0.0175,2.8021420976918217,0.02,0.001
91,2.791222861480713,0.0125,2.8070140978333296,0.06,0.001
92,2.789510880279541,0.02,2.8140555157023632,0.03,0.001
93,2.789501193237305,0.015,2.803065394140353,0.01,0.001
94,2.7904886001586915,0.015,2.827602782826515,0.04,0.001
95,2.791021764373779,0.015,2.8072215280715067,0.03,0.001
96,2.7887425979614258,0.015,2.803238829230047,0.01,0.001
